id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1618,Blade and Bow,45.50,NAS,60,98,3
1619,Corner Creek,44.00,NAS,238,87,3
1620,Elmer T. Lee,45.00,NAS,9,52,3
1621,Bruichladdich Rockside Farm Islay Barley,50.00,6 Years,8,50,9
1622,Glendronach Cask Strength (Batch 3),54.80,NAS,77,133,9
1623,Willett Family Estate 2yr Rye,55.70,2 Years,65,356,8
1624,Glenfarclas Faultline Casks (KL),57.00,NAS,144,134,9
1625,Glenfarclas 105 10yr,60.00,10 Years,144,134,9
1626,Booker’s C97-A-31,50.80,8 Years,5,27,3
1627,Old Forester Signature,50.00,NAS,74,48,3
1628,Caol Ila 12yr,43.00,12 Years,153,68,9
1629,Benromach 10yr,43.00,10 Years,181,33,9
1630,Springbank 10yr,46.00,10 Years,50,296,9
1631,Glenfarclas 12yr,43.00,12 Years,144,134,9
1632,Stagg Jr. Batch 5,64.85,NAS,9,52,3
1633,Stagg Jr. Batch 4,64.35,NAS,9,52,3
1634,Stagg Jr. Batch 3,66.05,NAS,9,52,3
1635,Stagg Jr. Batch 2,64.35,NAS,9,52,3
1636,Stagg Jr. Batch 1,67.20,NAS,9,52,3
1637,Smooth Ambler Old Scout 8yr Single Barrel Bourbon,53.50,8 Years,42,288,3
1638,Smooth Ambler Old Scout 8yr Cask Strength Single Barrel Rye,56.60,8 Years,42,288,8
1639,Rock Town Bourbon Whiskey,46.00,NAS,239,273,3
1640,Elijah Craig Small Batch 12 yr,47.00,12 Years,28,152,3
1641,Elijah Craig Small Batch,47.00,NAS,28,152,3
1642,Edradour Straight from The Cask,57.80,NAS,19,109,9
1643,Redbreast 12yr Cask Strength,58.60,12 Years,43,225,11
1644,Booker’s Noe Secret (2015-06),64.05,6 Years,5,27,3
1645,Booker’s Maw Maws Batch (2015-05),64.00,6 Years,5,27,3
1646,Booker’s Center Cut (2015-03),63.60,7 Years,5,27,3
1647,Colonel E.H. Taylor Rye,50.00,NAS,9,52,8
1648,Colonel E.H. Taylor Single Barrel,50.00,NAS,9,52,3
1649,Johnnie Walker Black Label,43.00,12 Years,62,184,9
1650,Dalwhinnie Distiller’s Edition (2014),43.00,17 Years,240,94,9
1651,Michter’s Single Barrel Rye,42.40,NAS,60,224,8
1652,Willett 3 Year Single Barrel Rye,54.50,3 Years,65,356,8
1653,Bruichladdich Port Charlotte Scottish Barley,50.00,NAS,8,50,9
1654,Nikka Coffey Grain Whisky,45.00,NAS,124,236,11
